Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-08-21 00:12:59,2024-08-22 00:17:23,UTC+01:00,2024-08-21 19:16:30,2024-08-21 20:18:30,11,17.8,54,62,50,0,4,8,511,51,91,,true
2024-08-21 00:12:59,2024-08-22 00:17:23,UTC+01:00,2024-08-21 00:12:59,2024-08-21 08:09:50,81,13.7,448,474,234,111,103,26,551,62,95,70,false
2024-08-20 00:50:06,2024-08-21 00:12:59,UTC+01:00,2024-08-20 00:50:06,2024-08-20 06:49:10,73,13.8,329,357,119,99,111,28,454,0,92,64,false
2024-08-18 22:44:36,2024-08-20 00:50:06,UTC+01:00,2024-08-18 22:44:36,2024-08-19 10:26:22,100,13.5,640,699,355,136,149,59,488,27,91,59,false
2024-08-18 00:48:05,2024-08-18 22:44:36,UTC+01:00,2024-08-18 00:48:05,2024-08-18 08:58:51,90,14.1,467,490,220,107,140,23,522,54,95,79,false
2024-08-17 00:06:38,2024-08-18 00:48:05,UTC+01:00,2024-08-17 00:06:38,2024-08-17 06:48:56,78,13.1,381,402,173,88,120,21,489,9,96,87,false
2024-08-16 00:22:21,2024-08-17 00:06:38,UTC+01:00,2024-08-16 00:22:21,2024-08-16 08:29:46,97,14.2,443,487,209,74,160,44,457,0,90,81,false
2024-08-14 23:52:00,2024-08-16 00:22:21,UTC+01:00,2024-08-14 23:52:00,2024-08-15 09:11:58,100,13.7,535,558,218,135,182,23,537,61,96,73,false
2024-08-14 00:11:09,2024-08-14 23:52:00,UTC+01:00,2024-08-14 00:11:09,2024-08-14 08:16:54,79,13.5,461,482,255,103,103,21,583,75,97,72,false
2024-08-13 00:36:09,2024-08-14 00:11:09,UTC+01:00,2024-08-13 00:36:09,2024-08-13 06:38:06,69,13.6,335,361,160,101,74,26,486,27,94,67,false
2024-08-12 00:32:19,2024-08-13 00:36:09,UTC+01:00,2024-08-12 00:32:19,2024-08-12 07:44:26,88,14.0,405,429,226,116,63,24,460,0,97,83,false
2024-08-11 00:35:10,2024-08-12 00:32:19,UTC+01:00,2024-08-11 00:35:10,2024-08-11 09:55:08,100,14.8,530,559,208,128,194,29,456,0,95,76,false
2024-08-09 23:44:10,2024-08-11 00:35:10,UTC+01:00,2024-08-09 23:44:10,2024-08-10 10:57:09,100,13.8,622,645,374,94,154,23,489,0,96,74,false
2024-08-09 01:33:42,2024-08-09 23:44:10,UTC+01:00,2024-08-09 01:33:42,2024-08-09 10:07:02,100,15.0,492,512,258,114,120,20,486,0,96,61,false
2024-08-07 21:58:48,2024-08-09 01:33:42,UTC+01:00,2024-08-07 21:58:48,2024-08-08 10:43:03,100,14.2,665,764,402,125,138,99,462,0,87,70,false
2024-08-06 23:05:05,2024-08-07 21:58:48,UTC+01:00,2024-08-06 23:05:05,2024-08-07 09:43:24,100,14.4,569,638,364,98,107,69,472,0,89,77,false
2024-08-05 23:46:59,2024-08-06 23:05:05,UTC+01:00,2024-08-05 23:46:59,2024-08-06 09:22:58,100,14.2,531,575,251,121,159,44,477,0,95,67,false
2024-08-04 23:57:39,2024-08-05 23:46:59,UTC+01:00,2024-08-04 23:57:39,2024-08-05 11:23:33,100,14.9,661,685,370,149,142,24,458,0,96,58,false
